,Name,ID,Genres,Followers,Popularity
0,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",10740384,79
1,Taylor Swift,06HL4z0CvFAxyc27GXpf02,['pop'],94400005,100
2,fun.,5nCi3BB41mBaMH9gfr6Su0,"['baroque pop', 'metropopolis']",3420049,64
3,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,"['folk-pop', 'neo-singer-songwriter', 'talent show']",4146533,71
4,Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",5579455,74
5,John Mayer,0hEurMDQu99nJRq8pTxO14,"['neo mellow', 'singer-songwriter']",5976060,75
6,Snow Patrol,3rIZMv9rysU7JkLzEaC5Jp,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']",2918167,65
7,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,"['album rock', 'classic rock', 'hard rock', 'rock']",13941561,74
8,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",24864684,83
9,Oasis,2DaxqgrOhkeH0fpeiQq2f4,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",9425815,74
10,U2,51Blml2LZPmy7TTiAg47vQ,"['irish rock', 'permanent wave', 'rock']",11759728,75
11,The Killers,0C0XlULifJtAgn6ZNCW2eu,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",7175285,74
12,The Script,3AQRLZ9PuTAozP28Skbq8V,"['celtic rock', 'pop']",8099929,71
13,Hozier,2FXC3k01G6Gw61bmprjgqS,"['irish singer-songwriter', 'modern rock', 'pov: indie']",6183294,80
14,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,"['modern rock', 'pop']",12068563,74
15,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,"['neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",2666452,69
16,Eagles,0ECwFtbIWEVNwjlrfc6xoL,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",10164292,74
17,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'singer-songwriter pop', 'uk pop']",115740668,86
18,ABBA,0LcJLqbBmaGUft1e9Mm8HV,"['europop', 'swedish pop']",11298447,77
19,Kings of Leon,2qk9voo8llSGYcZ6xrBzKx,"['modern rock', 'rock']",5307595,72
20,Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,"['indie pop', 'la indie', 'pov: indie']",2070120,76
21,Tracy Chapman,7oPgCQqMMXEXrNau5vxYZP,"['folk', 'lilith', 'singer-songwriter', ""women's music""]",1569120,68
22,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,"['piano rock', 'pop']",16556557,80
23,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",26687008,83
24,Young the Giant,4j56EQDQu5XnL7R3E9iFJT,"['indietronica', 'modern alternative rock', 'modern rock', 'pov: indie', 'stomp and holler']",1541836,65
25,Maroon 5,04gDigrS5kc9YWfZHwBETP,['pop'],41842854,83
26,Queen,1dfeR4HaWDbWqFHLkxsg1d,"['classic rock', 'glam rock', 'rock']",49021254,82
27,Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,"['modern folk rock', 'modern rock', 'neo mellow', 'stomp and holler', 'uk americana']",6527565,70
28,Kodaline,4BxCuXFJrSWGi1KHcVqaU4,"['irish pop', 'modern rock', 'neo mellow']",3012868,66
29,James Blunt,7KMqksf0UMdyA0UCf4R3ux,['neo mellow'],2900673,69
30,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",48485132,86
31,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",5627498,68
32,The Cure,7bu3H8JO7d0UbMoVzbo70s,"['new wave', 'permanent wave', 'rock', 'uk post-punk']",4971481,73
33,Green Day,7oPftvlwr6VrsViSDV7fJY,"['modern rock', 'permanent wave', 'punk', 'rock']",14531949,78
34,Gary Lightbody,3fCQnw6VSudXBTN5d2QP2z,['british singer-songwriter'],9339,52
