Genre,Playlist,Total Count,Count in Playlist 1,Count in Playlist 2
pop rap,Playlist 2,2,0,2
post-grunge,Playlist 1,2,2,0
album rock,Playlist 1,5,5,0
dance rock,Both,2,1,1
boy band,Playlist 2,1,0,1
classic texas country,Playlist 2,1,0,1
modern rock,Both,13,9,4
pop reggaeton,Playlist 2,1,0,1
canadian contemporary r&b,Playlist 2,1,0,1
complextro,Playlist 2,1,0,1
trap queen,Playlist 2,2,0,2
british singer-songwriter,Playlist 1,1,1,0
rap,Playlist 2,2,0,2
permanent wave,Both,10,8,2
uk funky,Playlist 2,1,0,1
modern folk rock,Playlist 1,1,1,0
german techno,Playlist 2,1,0,1
viral pop,Playlist 2,2,0,2
trap,Playlist 2,1,0,1
modern alternative rock,Both,2,1,1
pop,Both,47,7,40
swedish electropop,Playlist 2,1,0,1
houston rap,Playlist 2,1,0,1
britpop,Playlist 1,1,1,0
neo mellow,Both,7,6,1
australian dance,Playlist 2,1,0,1
rap metal,Playlist 1,1,1,0
canadian pop,Playlist 2,3,0,3
electro,Playlist 2,1,0,1
yacht rock,Playlist 1,2,2,0
piano rock,Both,3,2,1
singer-songwriter,Playlist 1,4,4,0
indie poptimism,Playlist 2,2,0,2
glam rock,Playlist 1,1,1,0
r&b,Playlist 2,1,0,1
stomp and holler,Playlist 1,2,2,0
uk americana,Playlist 1,1,1,0
indie rock,Playlist 2,1,0,1
baroque pop,Playlist 1,1,1,0
electric blues,Playlist 1,1,1,0
merseybeat,Playlist 1,1,1,0
irish pop,Playlist 1,1,1,0
minnesota hip hop,Playlist 2,1,0,1
hard rock,Playlist 1,1,1,0
progressive house,Playlist 2,1,0,1
progressive electro house,Playlist 2,1,0,1
uk pop,Both,4,1,3
scandipop,Playlist 2,1,0,1
southern hip hop,Playlist 2,1,0,1
pop rock,Both,3,2,1
australian hip hop,Playlist 2,1,0,1
metropopolis,Both,2,1,1
miami hip hop,Playlist 2,1,0,1
australian pop,Playlist 2,2,0,2
edm,Playlist 2,7,0,7
indietronica,Both,2,1,1
contemporary country,Playlist 2,1,0,1
pop dance,Playlist 2,6,0,6
brostep,Playlist 2,1,0,1
electronic trap,Playlist 2,1,0,1
europop,Playlist 1,1,1,0
classic rock,Playlist 1,7,7,0
hip hop,Playlist 2,1,0,1
punk,Playlist 1,1,1,0
k-pop,Playlist 2,1,0,1
mellow gold,Playlist 1,3,3,0
gauze pop,Playlist 2,2,0,2
talent show,Playlist 1,1,1,0
irish singer-songwriter,Playlist 1,1,1,0
madchester,Playlist 1,1,1,0
electropop,Playlist 2,1,0,1
irish rock,Playlist 1,2,2,0
psychedelic rock,Playlist 1,1,1,0
blues rock,Playlist 1,1,1,0
alternative rock,Playlist 1,1,1,0
big room,Playlist 2,1,0,1
new wave,Both,2,1,1
women's music,Playlist 1,1,1,0
art pop,Playlist 2,1,0,1
british invasion,Playlist 1,1,1,0
uk dance,Playlist 2,1,0,1
pop soul,Playlist 2,1,0,1
indie pop,Playlist 1,1,1,0
uk post-punk,Both,2,1,1
celtic rock,Playlist 1,1,1,0
rock,Both,16,14,2
k-pop boy group,Playlist 2,1,0,1
australian indie,Playlist 2,1,0,1
etherpop,Playlist 2,1,0,1
escape room,Playlist 2,1,0,1
nu metal,Playlist 1,1,1,0
pop edm,Playlist 2,1,0,1
filter house,Playlist 2,1,0,1
tropical house,Playlist 2,1,0,1
dance pop,Playlist 2,9,0,9
pittsburgh rap,Playlist 2,1,0,1
folk-pop,Both,2,1,1
neo-singer-songwriter,Playlist 1,1,1,0
la indie,Playlist 1,1,1,0
pov: indie,Both,4,3,1
reggaeton,Playlist 2,1,0,1
shiver pop,Playlist 2,1,0,1
post-teen pop,Playlist 2,1,0,1
trap latino,Playlist 2,1,0,1
folk,Playlist 1,1,1,0
urbano latino,Playlist 2,1,0,1
dutch edm,Playlist 2,1,0,1
beatlesque,Playlist 1,1,1,0
swedish pop,Both,2,1,1
singer-songwriter pop,Both,3,1,2
lilith,Playlist 1,1,1,0
soft rock,Playlist 1,4,4,0
heartland rock,Playlist 1,2,2,0
alternative metal,Playlist 1,1,1,0
